"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"25102","SECRETARIA DE ESTADO DA SAUDE","250001","CONSELHO ESTADUAL DE SAUDE","796266.39","740916.34","55350.05"
"25201","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","250101","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","410230.95","393865.71","16365.24"
"25202","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA","250201","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA - AGEVISA","2906212.60","2876078.80","30133.80"
"26101","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","GABINETE DO SECRETARIO","174719647.65","172368767.63","2350880.02"
"26102","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","1071867.50","992058.92","79808.58"
"26102","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","239819.73","239819.73","0.00"
"26201","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","DEPARTAMENTO ESTADUAL DE TRANSITO DETRAN","105690.69","105690.69","0.00"
"26201","DEPARTAMENTO ESTADUAL DE TRANSITO","260101","DEPARTAMENTO ESTADUAL DE TRANSITO DETRAN","108554106.10","104930370.42","3623735.68"
"26901","FUNDO ESPECIAL DA SEGURANCA PUBLICA","460001","FUNDO ESPECIAL DE SEGURANCA PUBLICA - FESP","2860718.41","808757.24","2051961.17"
"27101","COMPANHIA ESTADUAL DE HABITACAO POPULAR","270401","GABINETE DO SECRETARIO","18643043.62","18269915.41","373128.21"
"27101","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","270001","GABINETE DO SECRETARIO","46390645.34","34844712.63","11545932.71"
"27201","FUND DESENV CRIANCA E ADOLESCENTE ALICE ALMEIDA","270101","FUNDACAO DESENV DA CRIANCA E DO ADOLES ALICE DE ALMEIDA","30184612.23","28974621.23","1209991.00"
"27202","FUNDACAO DE ACAO COMUNITARIA","270201","FUNDACAO DE ACAO COMUNITARIA","57437171.54","52620416.67","4816754.87"
"27203","LOTERIA DO ESTADO DA PARAIBA","270301","LOTERIA DO ESTADO DA PARAIBA - LOTEP","957928.98","916765.44","41163.54"
"27204","COMPANHIA ESTADUAL DE HABITACAO POPULAR","270401","COMPANHIA ESTADUAL DE HABITACAO POPULAR CEHAP","24459870.56","24085795.37","374075.19"
